INPUT,Column1,A,B,C,D,E,F,G,H,Column2,"J
(optional)","K
(optional)"
10,,1103,9100,9,0.011,1024,10881,3.32,1500,,273,139.44
20,,4406,19200,9,0.011,1048576,163011,4.32,11400,,402,362.88
30,,9909,29300,17,0.012,1073741824,816561,4.91,38100,,548,618.66
40,,17612,39400,23,0.013,1.09951E+12,2571531,5.32,90000,,707,893.76
50,,27515,49500,28,0.014,1.13E+15,6267921,5.64,175500,,879,1184.4
60,,39618,59600,31,0.015,1.15E+18,12985731,5.91,303000,,1061,1489.32
70,,53921,69700,34,0.016,1.18E+21,24044961,6.13,480900,,1253,1802.22
80,,70424,79800,37,0.017,1.21E+24,41005611,6.32,717600,,1454,2123.52
90,,89127,89900,39,0.019,1.24E+27,65667681,6.49,1021500,,1663,2453.22
100,,110030,100000,42,0.02,1.27E+30,100071171,6.64,1401000,,1881,2788.8
200,,440060,201000,56,0.04,1.61E+60,1600284171,7.64,11202000,,4419,6417.6
400,,1760120,403000,70,0.16,2.58E+120,25601136171,8.64,89604000,,11011,14515.2
800,,7040240,807000,84,2.56,6.67E+240,4.09605E+11,9.64,716808000,,28478,32390.4
1600,,28160480,1615000,98,655.36,#NUM!,6.55362E+12,10.64,5734416000,,75531,71500.8
3200,,112640960,3231000,112,42949672.96,#NUM!,1.04858E+14,11.64,45875232000,,203910,156441.6
6400,,450561920,6463000,126,1.84E+17,#NUM!,1.68E+15,12.64,3.67002E+11,,557611,339763.2
9600,,1013762880,9695000,134,7.92E+26,#NUM!,8.49E+15,13.23,1.23863E+12,,1008935,533433.6
9700,,1034992910,9796000,134,1.58E+27,#NUM!,8.85E+15,13.24,1.27774E+12,,1024380,539397.6
9800,,1056442940,9897000,134,3.17E+27,#NUM!,9.22E+15,13.26,1.31767E+12,,1039901,545781.6
9900,,1078112970,9998000,134,6.34E+27,#NUM!,9.61E+15,13.27,1.35842E+12,,1055498,551766.6
10000,,1100003000,10099000,135,1.27E+28,#NUM!,1.00E+16,13.29,1.4E+12,,1071171,558180
,,polinominal,linear,log,exp,exp,polinominal,log,polinominal,,poli,linear
,,y = 11x^2 + 0.3x + 1E-08,y = 1010x -100,y = 0.0103x + 40.204,y = 0.0099e^00.69,y= 9.7234e^0.2916x,y= 2E + 08x^2 - 7E+11x+ 1E +14,y = 1.4426ln(x) - 0.0013,y = 19908x^2 - 6E+07x + 1E + 10,,y = 0.0061x^2 + 46.338x - 3665.8,y = 55.884x-5224.9
